content,Timestamp,Poster,Date,sentiment_scores,sentiment_score,positive_score,negative_score,neutral_score,sentiment_label
"EigenLayer TVL hits $12.9B, climbs 11% in one week: ITB",2024-08-15 18:31:08.633577,Josh O'Sullivan,2024-08-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Agribusiness adopts ESG practices to meet growing global market demands,2024-08-15 18:01:08.633577,Nihatcan Yanik,2024-08-15,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.34}",0.34,0.298,0.0,0.702,positive
Multiple arrests made in $14.4M Holograph hack investigation,2024-08-15 17:53:08.633577,Amaka Nwaokocha,2024-08-15,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0.0,0.293,0.707,negative
Malaysian kidnappers abducted Chinese man for $1M USDT: Report,2024-08-15 17:41:08.633577,Arijit Sarkar,2024-08-15,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.0,0.292,0.708,negative
Bitcoin sell pressure may break $56K support as options expiry looms,2024-08-15 17:34:08.633577,Zoltan Vardai,2024-08-15,"{'neg': 0.262, 'neu': 0.552, 'pos': 0.186, 'compound': -0.0258}",-0.0258,0.186,0.262,0.552,negative
US gov’t Bitcoin sale ‘doesn’t affect anything’ as analyst blames bears,2024-08-15 16:34:08.633577,William Suberg,2024-08-15,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}",-0.4019,0.0,0.213,0.787,negative
Nigerian crypto wallets tied to protests evade government freeze efforts,2024-08-15 15:34:08.633577,Amaka Nwaokocha,2024-08-15,"{'neg': 0.171, 'neu': 0.721, 'pos': 0.108, 'compound': -0.1779}",-0.1779,0.108,0.171,0.721,negative
Binance returns to India as registered crypto exchange following 7-month ban,2024-08-15 15:34:08.633577,Arijit Sarkar,2024-08-15,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}",-0.5574,0.0,0.265,0.735,negative
Memecoin ‘mastermind’ Sahil likely made $3M from ‘Celeb meta’ — ZachXBT,2024-08-15 15:34:08.633577,Tom Mitchelhill,2024-08-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
California AI bill aimed at preventing disasters draws ire from Silicon Valley,2024-08-15 14:34:08.633577,Martin Young,2024-08-15,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5719}",-0.5719,0.0,0.32,0.68,negative
Tokenized US Treasurys expected to surpass $3B by end of 2024,2024-08-15 14:34:08.633577,Toghrul A,2024-08-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
"Boomer says ETH fundamentals at all-time high, price is ‘lagging’",2024-08-15 14:34:08.633577,Ciaran Lyons,2024-08-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Iran is giving $24 to anyone who reports illegal crypto miners,2024-08-15 14:34:08.633577,Jesse Coghlan,2024-08-15,"{'neg': 0.24, 'neu': 0.6, 'pos': 0.16, 'compound': -0.296}",-0.296,0.16,0.24,0.6,negative
Two-thirds of institutional Bitcoin ETF holders held or bought more in Q2,2024-08-15 13:34:08.633577,Martin Young,2024-08-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Crypto influencers on notice after FTC bans fake likes and followers,2024-08-15 12:34:08.633577,Jesse Coghlan,2024-08-15,"{'neg': 0.208, 'neu': 0.604, 'pos': 0.188, 'compound': -0.0772}",-0.0772,0.188,0.208,0.604,negative
Fed rate cuts are not a sure thing — What does this mean for Bitcoin?,2024-08-15 12:34:08.633577,Ciaran Lyons,2024-08-15,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.4874}",-0.4874,0.0,0.275,0.725,negative
USDC to embrace tap-and-go payments after Apple opens up NFC,2024-08-15 12:34:08.633577,Tom Mitchelhill,2024-08-15,"{'neg': 0.301, 'neu': 0.543, 'pos': 0.156, 'compound': -0.4824}",-0.4824,0.156,0.301,0.543,negative
DeFi rises again as Aave hits new ATH in weekly borrowers,2024-08-15 11:34:08.633577,Martin Young,2024-08-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Australian regulator claims 58% of crypto ads on Facebook are scams,2024-08-15 10:34:08.633577,Stephen Katte,2024-08-15,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.5859}",-0.5859,0.0,0.275,0.725,negative
"Marathon Digital buys $249M Bitcoin, reserves reach 25K BTC",2024-08-15 09:34:08.633577,Jesse Coghlan,2024-08-15,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0258}",0.0258,0.121,0.0,0.879,positive
Senator Chuck Schumer pledges pro-crypto laws if Harris is president,2024-08-15 09:34:08.633577,Tom Mitchelhill,2024-08-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Ethereum gas fees: Too low or too high? No one can decide,2024-08-15 08:34:08.633577,Omid Malekan,2024-08-15,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.0,0.301,0.699,negative
"Price analysis 8/14: BTC, ETH, BNB, SOL, XRP, DOGE, TON, ADA, AVAX, SHIB",2024-08-15 07:34:08.633577,Rakesh Upadhyay,2024-08-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Users say ZKasino still hasn’t returned ETH months after claims opened,2024-08-15 07:34:08.633577,Christopher Roark,2024-08-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Toncoin (TON) gains 10% after Binance Launchpool platform addition,2024-08-15 06:34:08.633577,Nancy Lubale,2024-08-14,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.34,0.231,0.0,0.769,positive
Morgan Stanley discloses $188M in BlackRock Bitcoin ETF holdings,2024-08-15 06:34:08.633577,Turner Wright,2024-08-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
The future of Web 3.0 gaming — Blockchain Futurist Conference,2024-08-15 05:34:08.633577,Vince Quill,2024-08-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Here’s what happened in crypto today,2024-08-15 05:34:08.633577,Cointelegraph,2024-08-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
"New Vanguard CEO: ""We will not be launching crypto ETFs.""",2024-08-15 04:34:08.633577,Alex O’Donnell,2024-08-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral
Binance reaches $1.7M agreement with Brazilian securities regulator,2024-08-15 04:34:08.633577,Turner Wright,2024-08-14,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.6808}",0.6808,0.569,0.0,0.431,positive
Exchanges gear up crypto advocacy in Canada as elections loom,2024-08-15 03:34:08.633577,Ana Paula Pereira,2024-08-14,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2263}",-0.2263,0.0,0.174,0.826,negative
"NYSE Arca withdraws request to list options on commodity trusts, crypto ETFs",2024-08-15 03:34:08.633577,Alex O’Donnell,2024-08-14,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.4767}",0.4767,0.22,0.0,0.78,positive
Exclusive: Fireblocks granted New York charter for crypto custody,2024-08-15 03:34:08.633577,Alex O’Donnell,2024-08-14,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,0.333,0.0,0.667,positive
